Errors,Attempts,Accuracy,Elapsed Time,Type,Age,English Proficiency,Coding Proficiency,Dyslexia,Input Device,Participant
,1.00,100.00,5657,kebab,39,advanced,expert,no,mouse,13
,1.00,100.00,5172,kebab,39,advanced,expert,no,mouse,13
,1.00,100.00,4934,kebab,39,advanced,expert,no,mouse,13
1,2.00,50.00,9621,camel,39,advanced,expert,no,mouse,13
1,2.00,50.00,12303,camel,39,advanced,expert,no,mouse,13
,1.00,100.00,5307,camel,39,advanced,expert,no,mouse,13
,1.00,100.00,5546,camel,39,advanced,expert,no,mouse,13
,1.00,100.00,3544,camel,39,advanced,expert,no,mouse,13
,1.00,100.00,5036,camel,39,advanced,expert,no,mouse,13
,1.00,100.00,4282,camel,39,advanced,expert,no,mouse,13
,1.00,100.00,5393,camel,39,advanced,expert,no,mouse,13
1,2.00,50.00,5984,camel,39,advanced,expert,no,mouse,13
,1.00,100.00,4498,camel,39,advanced,expert,no,mouse,13
,1.00,100.00,4327.5,kebab,26,advanced,expert,no,touchpad,14
,1.00,100.00,2379.099999,kebab,26,advanced,expert,no,touchpad,14
,1.00,100.00,2654,kebab,26,advanced,expert,no,touchpad,14
,1.00,100.00,2590.099999,kebab,26,advanced,expert,no,touchpad,14
,1.00,100.00,3510.2,kebab,26,advanced,expert,no,touchpad,14
,1.00,100.00,2306.5,kebab,26,advanced,expert,no,touchpad,14
,1.00,100.00,2591.7,kebab,26,advanced,expert,no,touchpad,14
,1.00,100.00,1827.2,kebab,26,advanced,expert,no,touchpad,14
,1.00,100.00,3805.2,kebab,26,advanced,expert,no,touchpad,14
,1.00,100.00,2927.9,kebab,26,advanced,expert,no,touchpad,14
,1.00,100.00,4322,camel,26,advanced,expert,no,touchpad,14
,1.00,100.00,4054.3,camel,26,advanced,expert,no,touchpad,14
,1.00,100.00,3334.4,camel,26,advanced,expert,no,touchpad,14
,1.00,100.00,3480,camel,26,advanced,expert,no,touchpad,14
,1.00,100.00,1990.9,camel,26,advanced,expert,no,touchpad,14
,1.00,100.00,6094,camel,26,advanced,expert,no,touchpad,14
,1.00,100.00,3876.400001,camel,26,advanced,expert,no,touchpad,14
1,2.00,50.00,6069.900001,camel,26,advanced,expert,no,touchpad,14
1,2.00,50.00,5138.900001,camel,26,advanced,expert,no,touchpad,14
,1.00,100.00,3147.799999,camel,26,advanced,expert,no,touchpad,14
,1.00,100.00,2802,kebab,23,native,intermediate,no,touchpad,15
,1.00,100.00,3622,kebab,23,native,intermediate,no,touchpad,15
,1.00,100.00,2381,kebab,23,native,intermediate,no,touchpad,15
,1.00,100.00,1832,kebab,23,native,intermediate,no,touchpad,15
,1.00,100.00,3047,kebab,23,native,intermediate,no,touchpad,15
,1.00,100.00,4712,kebab,23,native,intermediate,no,touchpad,15
,1.00,100.00,2721,kebab,23,native,intermediate,no,touchpad,15
,1.00,100.00,1624,kebab,23,native,intermediate,no,touchpad,15
,1.00,100.00,3191,kebab,23,native,intermediate,no,touchpad,15
,1.00,100.00,3357,kebab,23,native,intermediate,no,touchpad,15
,1.00,100.00,3978,camel,23,native,intermediate,no,touchpad,15
,1.00,100.00,3494,camel,23,native,intermediate,no,touchpad,15
,1.00,100.00,3955,camel,23,native,intermediate,no,touchpad,15
,1.00,100.00,7161,camel,23,native,intermediate,no,touchpad,15
,1.00,100.00,2880,camel,23,native,intermediate,no,touchpad,15
,1.00,100.00,5833,camel,23,native,intermediate,no,touchpad,15
,1.00,100.00,4952,camel,23,native,intermediate,no,touchpad,15
,1.00,100.00,2316,camel,23,native,intermediate,no,touchpad,15
,1.00,100.00,2741,camel,23,native,intermediate,no,touchpad,15
,1.00,100.00,2935,camel,23,native,intermediate,no,touchpad,15
,1.00,100.00,4736,camel,21,advanced,advanced,yes,touchpad,16
,1.00,100.00,4419,camel,21,advanced,advanced,yes,touchpad,16
1,2.00,50.00,13676,camel,21,advanced,advanced,yes,touchpad,16
,1.00,100.00,5094,camel,21,advanced,advanced,yes,touchpad,16
,1.00,100.00,5355,camel,21,advanced,advanced,yes,touchpad,16
1,2.00,50.00,6905,camel,21,advanced,advanced,yes,touchpad,16
,1.00,100.00,8941,camel,21,advanced,advanced,yes,touchpad,16
,1.00,100.00,8307,camel,21,advanced,advanced,yes,touchpad,16
,1.00,100.00,16487,camel,21,advanced,advanced,yes,touchpad,16
,1.00,100.00,18272,camel,21,advanced,advanced,yes,touchpad,16
,1.00,100.00,11440,kebab,21,advanced,advanced,yes,touchpad,16
,1.00,100.00,6429,kebab,21,advanced,advanced,yes,touchpad,16
,1.00,100.00,6422,kebab,21,advanced,advanced,yes,touchpad,16
,1.00,100.00,4964,kebab,21,advanced,advanced,yes,touchpad,16
,1.00,100.00,4511,kebab,21,advanced,advanced,yes,touchpad,16
1,2.00,50.00,8401,kebab,21,advanced,advanced,yes,touchpad,16
,1.00,100.00,9208,kebab,21,advanced,advanced,yes,touchpad,16
,1.00,100.00,6154,kebab,21,advanced,advanced,yes,touchpad,16
,1.00,100.00,2682,kebab,21,advanced,advanced,yes,touchpad,16
,1.00,100.00,5514,kebab,21,advanced,advanced,yes,touchpad,16
